epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5102,1.55229,2.73263,1.24722,0.54833,0.51356,0.46096,0.17639,1.90961,1.88639,1.29887,0.000664286,0.000664286,0.000664286
2,56.8269,1.72455,1.76892,1.33242,0.59228,0.43136,0.46228,0.2192,1.85972,1.73371,1.29304,0.0013046,0.0013046,0.0013046
3,80.2293,1.68572,1.47119,1.30546,0.63805,0.50085,0.53311,0.25409,1.82594,1.45378,1.26941,0.00191851,0.00191851,0.00191851
4,104.638,1.67707,1.38027,1.29036,0.67825,0.55847,0.61745,0.29333,1.78571,1.29637,1.24,0.0018812,0.0018812,0.0018812
5,127.986,1.62674,1.28426,1.26986,0.7259,0.49492,0.56993,0.28029,1.81278,1.36054,1.21575,0.0018416,0.0018416,0.0018416
6,151.341,1.56309,1.20274,1.24897,0.74261,0.57712,0.65236,0.32151,1.67479,1.19932,1.18458,0.001802,0.001802,0.001802
7,174.406,1.53785,1.14037,1.21712,0.80313,0.61539,0.69234,0.35759,1.65283,1.14939,1.15566,0.0017624,0.0017624,0.0017624
8,197.651,1.48264,1.08683,1.19988,0.74991,0.61102,0.69008,0.34457,1.68385,1.17103,1.17858,0.0017228,0.0017228,0.0017228
9,220.657,1.49484,1.06839,1.20212,0.81191,0.59831,0.69404,0.35276,1.64763,1.1136,1.1483,0.0016832,0.0016832,0.0016832
10,244.16,1.48955,1.0532,1.18861,0.82412,0.62627,0.7144,0.37528,1.63338,1.03006,1.15593,0.0016436,0.0016436,0.0016436
11,267.281,1.48214,1.03897,1.20137,0.81681,0.65763,0.73562,0.38278,1.62411,1.03534,1.13449,0.001604,0.001604,0.001604
12,290.359,1.43485,1.00267,1.17864,0.80025,0.59414,0.68297,0.36519,1.61655,1.07012,1.14525,0.0015644,0.0015644,0.0015644
13,313.599,1.41126,0.97211,1.16114,0.84092,0.67198,0.75515,0.40319,1.56659,0.95433,1.11534,0.0015248,0.0015248,0.0015248
14,336.637,1.40741,0.94579,1.16717,0.81427,0.67248,0.74842,0.39337,1.5679,0.99659,1.12009,0.0014852,0.0014852,0.0014852
15,359.836,1.3955,0.94342,1.15082,0.81093,0.6661,0.74005,0.38186,1.61514,1.00133,1.11877,0.0014456,0.0014456,0.0014456
16,382.775,1.39801,0.94532,1.15266,0.82283,0.6678,0.74892,0.41387,1.53409,0.95719,1.10401,0.001406,0.001406,0.001406
17,406.294,1.37745,0.90284,1.13971,0.83479,0.70678,0.77461,0.42018,1.5482,0.93047,1.099,0.0013664,0.0013664,0.0013664
18,429.198,1.35304,0.90138,1.13735,0.83996,0.68943,0.77328,0.4193,1.54577,0.91763,1.09907,0.0013268,0.0013268,0.0013268
19,452.275,1.35312,0.88949,1.13376,0.85184,0.70254,0.78962,0.43596,1.5103,0.90201,1.08966,0.0012872,0.0012872,0.0012872
