epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80112,1.54509,3.03402,1.37989,0.00419,0.85714,0.18844,0.12083,1.25455,3.28004,1.1731,0.00042,0.00042,0.00042
2,4.84832,1.45604,2.26954,1.27169,0.00651,0.54259,0.1847,0.09081,1.41859,3.30635,1.23339,0.000856594,0.000856594,0.000856594
3,6.85432,1.55627,2.15605,1.35372,0.14035,0.12698,0.06891,0.03587,1.57316,3.20359,1.31715,0.0012897,0.0012897,0.0012897
4,8.91051,1.55177,2.11697,1.33338,0.11134,0.23016,0.08546,0.03832,1.74044,3.04092,1.54703,0.00171933,0.00171933,0.00171933
5,10.874,1.60533,2.00093,1.3735,0.55294,0.3534,0.37562,0.18766,1.79771,2.50027,1.65715,0.00196832,0.00196832,0.00196832
6,12.8535,1.61905,1.9772,1.38289,0.26315,0.26984,0.19102,0.06778,1.99256,3.22957,2.15976,0.0019604,0.0019604,0.0019604
7,14.796,1.54153,1.86553,1.33893,0.45316,0.39683,0.40615,0.2069,1.79218,2.33556,1.59685,0.00195248,0.00195248,0.00195248
8,16.755,1.58764,1.78576,1.36999,0.48774,0.44444,0.435,0.22678,1.74981,2.76677,1.60157,0.00194456,0.00194456,0.00194456
9,18.7186,1.5434,1.71958,1.35675,0.33747,0.43651,0.24031,0.10553,1.83464,3.02222,1.64437,0.00193664,0.00193664,0.00193664
10,20.7921,1.50618,1.66537,1.3048,0.58651,0.54762,0.54175,0.28564,1.63644,1.92744,1.55717,0.00192872,0.00192872,0.00192872
11,22.7518,1.44508,1.57694,1.30504,0.4648,0.47619,0.45623,0.25512,1.64824,1.94978,1.56834,0.0019208,0.0019208,0.0019208
12,24.7148,1.44429,1.48304,1.27982,0.68094,0.54762,0.60615,0.32981,1.54001,1.56276,1.46861,0.00191288,0.00191288,0.00191288
13,26.6458,1.44959,1.49302,1.30951,0.5848,0.50304,0.57203,0.3392,1.43579,1.81772,1.37406,0.00190496,0.00190496,0.00190496
14,28.6945,1.41341,1.44973,1.26498,0.63727,0.55556,0.60675,0.32016,1.54188,1.82141,1.39066,0.00189704,0.00189704,0.00189704
15,30.654,1.41446,1.47363,1.26243,0.60529,0.57937,0.57333,0.29709,1.57428,2.05594,1.40399,0.00188912,0.00188912,0.00188912
16,32.5981,1.40569,1.41123,1.2557,0.64846,0.5873,0.5917,0.33932,1.46147,2.01116,1.39725,0.0018812,0.0018812,0.0018812
17,34.5451,1.39647,1.40117,1.26711,0.71615,0.46055,0.51348,0.29312,1.53674,2.19604,1.41582,0.00187328,0.00187328,0.00187328
18,36.5571,1.40041,1.37542,1.24916,0.51619,0.52501,0.53557,0.3089,1.51288,1.75279,1.42271,0.00186536,0.00186536,0.00186536
19,38.5111,1.3849,1.36266,1.24384,0.70675,0.55556,0.63449,0.34993,1.51759,1.58195,1.39204,0.00185744,0.00185744,0.00185744
20,40.4951,1.38722,1.32752,1.24808,0.79123,0.63492,0.71657,0.41463,1.44985,1.34685,1.33499,0.00184952,0.00184952,0.00184952
21,42.4266,1.35321,1.31057,1.20728,0.7375,0.6746,0.69916,0.41468,1.47957,1.24533,1.39087,0.0018416,0.0018416,0.0018416
22,44.4898,1.31077,1.24803,1.20667,0.69854,0.45977,0.54857,0.32783,1.46726,1.7651,1.36224,0.00183368,0.00183368,0.00183368
23,46.4143,1.33997,1.26215,1.23252,0.63251,0.58738,0.6157,0.35972,1.40887,1.45903,1.33105,0.00182576,0.00182576,0.00182576
24,48.3933,1.23938,1.19712,1.16704,0.72201,0.59524,0.66892,0.39459,1.352,1.39762,1.27095,0.00181784,0.00181784,0.00181784
25,50.3453,1.28521,1.20841,1.19975,0.80245,0.39683,0.52973,0.33217,1.35922,1.71225,1.27123,0.00180992,0.00180992,0.00180992
26,52.2798,1.29226,1.21607,1.19941,0.66805,0.66667,0.70166,0.36632,1.36842,1.66033,1.32632,0.001802,0.001802,0.001802
27,54.2299,1.33561,1.2399,1.20743,0.86433,0.57143,0.70178,0.39878,1.35043,1.72851,1.30814,0.00179408,0.00179408,0.00179408
28,56.174,1.30825,1.22779,1.1973,0.72759,0.72075,0.72973,0.42066,1.41908,1.29569,1.33902,0.00178616,0.00178616,0.00178616
29,58.154,1.22616,1.18621,1.16288,0.68198,0.66376,0.67129,0.37876,1.49921,1.33462,1.40697,0.00177824,0.00177824,0.00177824
30,60.1485,1.22944,1.14484,1.15929,0.73409,0.57937,0.64531,0.38701,1.43009,1.43757,1.31502,0.00177032,0.00177032,0.00177032
31,62.0745,1.24649,1.16732,1.14878,0.74758,0.70515,0.77492,0.44915,1.37205,1.227,1.3484,0.0017624,0.0017624,0.0017624
32,64.014,1.26282,1.1369,1.16797,0.83723,0.57143,0.70889,0.43137,1.32011,1.25119,1.311,0.00175448,0.00175448,0.00175448
33,65.98,1.19797,1.09468,1.16948,0.81818,0.67859,0.73273,0.43384,1.39518,1.26609,1.30632,0.00174656,0.00174656,0.00174656
